title_year,title,year,description,language,genres,stars,formatted_length,ratings,votes
It's All Gone Pete Tong (2004),It's All Gone Pete Tong,2004,,,"Comedy , Drama , Music",,90,7.3,8737
The Joy Luck Club (1993),The Joy Luck Club,1993,,,"Drama , Romance",,139,7.3,8708
Jason and the Argonauts (1963),Jason and the Argonauts,1963,,,"Action , Family , Fantasy , Adventure",,104,7.3,8439
The Beat That My Heart Skipped (2005),The Beat That My Heart Skipped,2005,,,"Action , Crime , Drama , Music , Romance , Thriller",,0,7.3,8275
Latter Days (2003),Latter Days,2003,,,"Comedy , Drama , Romance",,107,7.3,7748
Stardust Memories (1980),Stardust Memories,1980,,,"Comedy , Drama",,89,7.3,7650
Once Upon a Time in China (1991),Once Upon a Time in China,1991,,,"Action , Adventure , Drama , History",,134,7.3,7472
The Big Red One (1980),The Big Red One,1980,,,"Action , Drama , War",,113,7.3,7316
Pat Garrett & Billy the Kid (1973),Pat Garrett & Billy the Kid,1973,,,"Drama , History , Western",,0,7.3,7233
Betty Blue (1986),Betty Blue,1986,,,"Drama , Romance",,120,7.3,7065
Infernal Affairs II (2003),Infernal Affairs II,2003,,,"Action , Crime , Drama , Thriller",,119,7.3,6978
The Madness of King George (1994),The Madness of King George,1994,,,"Biography , Comedy , Drama , History",,107,7.3,6808
Irma la Douce (1963),Irma la Douce,1963,,,"Comedy , Romance",,147,7.3,6525
The Man in the Moon (1991),The Man in the Moon,1991,,,"Drama , Romance",,99,7.3,6446
Gojira (1954),Gojira,1954,,,"Drama , Horror , Sci-Fi , Thriller",,96,7.3,6138
Insomnia (1997),Insomnia,1997,,,"Crime , Drama , Mystery , Thriller",,96,7.3,6133
Funny Girl (1968),Funny Girl,1968,,,"Biography , Comedy , Drama , Musical , Romance",,151,7.3,6078
"Her Majesty, Mrs. Brown (1997)","Her Majesty, Mrs. Brown",1997,,,"Biography , Drama , History , Romance",,105,7.3,6016
Talk to Me (2007),Talk to Me,2007,,,"Biography , Drama , History , Music , War",,118,7.3,6007
Amen. (2002),Amen.,2002,,,"Crime , Drama , War",,132,7.3,5963
Hilary and Jackie (1998),Hilary and Jackie,1998,,,"Biography , Drama , Music",,121,7.3,5664
The Parallax View (1974),The Parallax View,1974,,,Thriller,,102,7.3,5648
Cry Freedom (1987),Cry Freedom,1987,,,"Biography , Drama",,157,7.3,5480
The Goodbye Girl (1977),The Goodbye Girl,1977,,,"Comedy , Romance",,111,7.3,5456
Kuch Kuch Hota Hai (1998),Kuch Kuch Hota Hai,1998,,,"Comedy , Family , Musical , Romance",,177,7.3,5441
Last Night (1998),Last Night,1998,,,"Comedy , Drama , Romance , Sci-Fi",,95,7.3,5347
On the Beach (1959),On the Beach,1959,,,"Drama , Sci-Fi",,134,7.3,5260
The Ipcress File (1965),The Ipcress File,1965,,,"Crime , Drama , Mystery , Thriller",,109,7.3,5117
Veer-Zaara (2004),Veer-Zaara,2004,,,"Drama , Musical , Romance",,192,7.3,5099
Mona Lisa (1986),Mona Lisa,1986,,,"Crime , Drama , Romance , Thriller",,104,7.3,5087
Bread & Tulips (2000),Bread & Tulips,2000,,,"Comedy , Romance",,114,7.3,5069
Another Woman (1988),Another Woman,1988,,,Drama,,81,7.3,5000
Village of the Damned (1960),Village of the Damned,1960,,,"Horror , Mystery , Sci-Fi",,77,7.3,4970
Happy Accidents (2000),Happy Accidents,2000,,,"Comedy , Sci-Fi , Romance",,110,7.3,4702
"You, the Living (2007)","You, the Living",2007,,,"Comedy , Drama , Music",,95,7.3,4704
The Professionals (1966),The Professionals,1966,,,"Action , Western",,117,7.3,4692
Mostly Martha (2001),Mostly Martha,2001,,,"Comedy , Romance , Drama",,109,7.3,4483
Ten Inch Hero (2007),Ten Inch Hero,2007,,,"Comedy , Drama , Romance",,0,7.3,4426
Man on the Train (2002),Man on the Train,2002,,,"Crime , Drama , Thriller",,90,7.3,4354
Kitchen Stories (2003),Kitchen Stories,2003,,,"Comedy , Drama",,95,7.3,4347
Run Silent Run Deep (1958),Run Silent Run Deep,1958,,,"War , Action , Drama",,93,7.3,4329
A Better Tomorrow II (1987),A Better Tomorrow II,1987,,,"Action , Crime , Drama , Thriller",,105,7.3,4320
The Bad Seed (1956),The Bad Seed,1956,,,"Drama , Horror , Mystery , Thriller",,129,7.3,4273
A Midnight Clear (1992),A Midnight Clear,1992,,,"Drama , War",,108,7.3,4328
Father Goose (1964),Father Goose,1964,,,"Adventure , Comedy , Romance , War",,118,7.3,4276
The American Friend (1977),The American Friend,1977,,,"Crime , Mystery , Thriller , Drama",,125,7.3,4258
Old Yeller (1957),Old Yeller,1957,,,"Family , Drama , Adventure , Western",,83,7.3,4199
The Front Page (1974),The Front Page,1974,,,"Comedy , Drama , Romance",,105,7.3,4252
The Lovers on the Bridge (1991),The Lovers on the Bridge,1991,,,"Drama , Romance",,125,7.3,4198
Shogun Assassin (1980),Shogun Assassin,1980,,,"Action , Adventure , Drama",,85,7.3,4137
XXY (2007),XXY,2007,,,Drama,,86,7.3,4131
Exiled (2006),Exiled,2006,,,"Action , Crime , Thriller",,110,7.3,4084
Of Gods and Men (2010),Of Gods and Men,2010,,,"Drama , History",,122,7.3,4048
Nil by Mouth (1997),Nil by Mouth,1997,,,Drama,,128,7.3,3992
The Secret of Roan Inish (1994),The Secret of Roan Inish,1994,,,"Drama , Family , Fantasy",,103,7.3,3989
North Face (2008),North Face,2008,,,"Adventure , Drama , History , Sport",,126,7.3,3958
Two-Lane Blacktop (1971),Two-Lane Blacktop,1971,,,Drama,,102,7.3,3980
Hombre (1967),Hombre,1967,,,"Action , Drama , Western",,111,7.3,3957
In Search of a Midnight Kiss (2007),In Search of a Midnight Kiss,2007,,,"Comedy , Romance",,90,7.3,3953
Jing Ke ci Qin Wang (1998),Jing Ke ci Qin Wang,1998,,,"Drama , History",,162,7.3,3921
The Beast of War (1988),The Beast of War,1988,,,"Drama , History , War",,111,7.3,3873
Ronja Robbersdaughter (1984),Ronja Robbersdaughter,1984,,,"Adventure , Family , Drama , Fantasy",,126,7.3,3868
Rosetta (1999),Rosetta,1999,,,Drama,,95,7.3,3858
Ridicule (1996),Ridicule,1996,,,"Comedy , Drama , Romance",,102,7.3,3871
The Wanderers (1979),The Wanderers,1979,,,"Drama , Action",,117,7.3,3812
The Mad Adventures of 'Rabbi' Jacob (1973),The Mad Adventures of 'Rabbi' Jacob,1973,,,Comedy,,100,7.3,3798
The Private Life of Sherlock Holmes (1970),The Private Life of Sherlock Holmes,1970,,,"Adventure , Comedy , Crime , Mystery , Romance , Thriller",,125,7.3,3797
Once Upon a Time in China II (1992),Once Upon a Time in China II,1992,,,"Action , History , Romance",,113,7.3,3768
Lammbock (2001),Lammbock,2001,,,Comedy,,93,7.3,3640
Torch Song Trilogy (1988),Torch Song Trilogy,1988,,,"Comedy , Drama , Romance",,120,7.3,3659
Metropolitan (1990),Metropolitan,1990,,,"Comedy , Drama",,98,7.3,3647
Dark Blue Almost Black (2006),Dark Blue Almost Black,2006,,,Drama,,105,7.3,3621
The Front (1976),The Front,1976,,,"Comedy , Drama",,95,7.3,3577
Lust for Life (1956),Lust for Life,1956,,,"Biography , Drama",,122,7.3,3615
Picnic (1955),Picnic,1955,,,"Drama , Romance",,115,7.3,3605
The Killing of a Chinese Bookie (1976),The Killing of a Chinese Bookie,1976,,,"Crime , Drama",,135,7.3,3567
The Black Balloon (2008),The Black Balloon,2008,,,"Drama , Romance",,97,7.3,3547
L\xe9olo (1992),L\xe9olo,1992,,,"Comedy , Drama",,107,7.3,3473
The Ballad of Cable Hogue (1970),The Ballad of Cable Hogue,1970,,,"Comedy , Drama , Romance , Western",,121,7.3,3469
Shadows (1959),Shadows,1959,,,Drama,,81,7.3,3395
Reprise (2006),Reprise,2006,,,Drama,,105,7.3,3329
Five Million Years to Earth (1967),Five Million Years to Earth,1967,,,"Sci-Fi , Horror",,97,7.3,3301
Music Within (2007),Music Within,2007,,,"Biography , Comedy , Drama , Music , Romance , War",,94,7.3,3295
The Crazy Stranger (1997),The Crazy Stranger,1997,,,"Comedy , Drama , Music , Romance",,102,7.3,3294
The Call of Cthulhu (2005),The Call of Cthulhu,2005,,,"Horror , Thriller",,47,7.3,3255
Ratcatcher (1999),Ratcatcher,1999,,,Drama,,94,7.3,3227
Shenandoah (1965),Shenandoah,1965,,,"Drama , War , Western",,105,7.3,3167
The Young Lions (1958),The Young Lions,1958,,,"Action , Drama , War",,167,7.3,3132
Kamikaze Girls (2004),Kamikaze Girls,2004,,,Comedy,,102,7.3,3078
Moli\xe8re (2007),Moli\xe8re,2007,,,"Comedy , History",,120,7.3,3070
The Fourth Man (1983),The Fourth Man,1983,,,"Drama , Mystery , Thriller",,102,7.3,3125
Berlin Calling (2008),Berlin Calling,2008,,,"Comedy , Drama , Music",,100,7.3,3114
Cure (1997),Cure,1997,,,"Crime , Horror , Mystery , Thriller",,111,7.3,3099
Grbavica: The Land of My Dreams (2006),Grbavica: The Land of My Dreams,2006,,,Drama,,90,7.3,3059
Himalaya (1999),Himalaya,1999,,,Drama,,108,7.3,3011
Mr. Arkadin (1955),Mr. Arkadin,1955,,,"Thriller , Crime , Mystery , Drama",,93,7.3,2936
Mad Detective (2007),Mad Detective,2007,,,"Action , Crime , Thriller",,0,7.3,2933
Winter Sleepers (1997),Winter Sleepers,1997,,,"Drama , Romance , Thriller",,122,7.3,2928
Arven (2003),Arven,2003,,,Drama,,115,7.3,2863
Seducing Doctor Lewis (2003),Seducing Doctor Lewis,2003,,,"Comedy , Romance",,108,7.3,2824
Women in Love (1969),Women in Love,1969,,,"Drama , Romance",,131,7.3,2767
4 Minutes (2006),4 Minutes,2006,,,"Drama , Music",,112,7.3,2745
The Eel (1997),The Eel,1997,,,Drama,,117,7.3,2744
Time Out (2001),Time Out,2001,,,Drama,,134,7.3,2736
Under the Same Moon (La misma luna) (2007),Under the Same Moon (La misma luna),2007,,,Drama,,106,7.3,2712
Together (2002),Together,2002,,,"Drama , Music",,116,7.3,2705
The Secret of the Grain (2007),The Secret of the Grain,2007,,,Drama,,151,7.3,2681
Est - Ouest (1999),Est - Ouest,1999,,,"Drama , History , Romance",,121,7.3,2697
Life Is Sweet (1990),Life Is Sweet,1990,,,"Comedy , Drama",,103,7.3,2672
The Woman Next Door (1981),The Woman Next Door,1981,,,"Drama , Romance",,106,7.3,2653
Fat City (1972),Fat City,1972,,,"Drama , Sport",,100,7.3,2616
"If I Want to Whistle, I Whistle (2010)","If I Want to Whistle, I Whistle",2010,,,Drama,,94,7.3,2588
Sugar (2008),Sugar,2008,,,"Drama , Sport",,120,7.3,2538
Greedy Guts (2000),Greedy Guts,2000,,,"Animation , Comedy , Drama , Fantasy , Thriller",,132,7.3,2534
Strawberry and Chocolate (1994),Strawberry and Chocolate,1994,,,"Drama , Comedy",,108,7.3,2485
Still Life (2006),Still Life,2006,,,Drama,,111,7.3,2427
A Little Romance (1979),A Little Romance,1979,,,"Comedy , Romance",,108,7.3,2421
I Killed My Mother (2009),I Killed My Mother,2009,,,"Biography , Drama",,96,7.3,2427
Straight Time (1978),Straight Time,1978,,,"Crime , Drama",,114,7.3,2425
Emperor of the North (1973),Emperor of the North,1973,,,"Drama , Action , Thriller",,118,7.3,2417
Panic in the Streets (1950),Panic in the Streets,1950,,,"Crime , Film-Noir , Thriller",,96,7.3,2414
Running Out of Time (1999),Running Out of Time,1999,,,"Action , Crime , Drama , Thriller",,93,7.3,2393
Tony Takitani (2004),Tony Takitani,2004,,,Drama,,105,7.3,2413
The Crimson Pirate (1952),The Crimson Pirate,1952,,,"Action , Adventure , Comedy",,105,7.3,2399
Hum Aapke Hain Koun...! (1994),Hum Aapke Hain Koun...!,1994,,,"Comedy , Drama , Musical , Romance",,206,7.3,2339
Man of the West (1958),Man of the West,1958,,,"Action , Drama , Romance , Western",,100,7.3,2337
Pauline at the Beach (1983),Pauline at the Beach,1983,,,"Comedy , Drama , Romance",,94,7.3,2326
Angel Face (1952),Angel Face,1952,,,"Drama , Film-Noir , Crime",,91,7.3,2325
Four Days in September (1997),Four Days in September,1997,,,"Action , Drama , History , Thriller",,110,7.3,2314
Triad Election (2006),Triad Election,2006,,,"Crime , Drama , Thriller",,92,7.3,2292
No One Knows About Persian Cats (2009),No One Knows About Persian Cats,2009,,,"Drama , Music",,106,7.3,2289
The Night of the Generals (1967),The Night of the Generals,1967,,,"Crime , Drama , Mystery , Thriller , War",,148,7.3,2272
La ardilla roja (1993),La ardilla roja,1993,,,"Comedy , Drama , Music , Mystery , Romance",,114,7.3,2264
Red Riding: In the Year of Our Lord 1980 (2009),Red Riding: In the Year of Our Lord 1980,2009,,,"Crime , Drama , Mystery , Thriller",,93,7.3,2228
Swept Away (1974),Swept Away,1974,,,"Adventure , Comedy , Drama",,116,7.3,2220
Cheung fo (1999),Cheung fo,1999,,,"Crime , Drama , Mystery , Thriller",,81,7.3,2219
Nelly & Monsieur Arnaud (1995),Nelly & Monsieur Arnaud,1995,,,Drama,,106,7.3,2204
The Circle (2000),The Circle,2000,,,Drama,,90,7.3,2200
Friend (2001),Friend,2001,,,"Crime , Drama",,113,7.3,2168
Bastard Out of Carolina (1996),Bastard Out of Carolina,1996,,,Drama,,97,7.3,2181
Blood and Black Lace (1964),Blood and Black Lace,1964,,,"Horror , Mystery , Thriller",,88,7.3,2175
Son osmanli yandim ali (2007),Son osmanli yandim ali,2007,,,"Action , Comedy , Drama , History , War",,126,7.3,2112
The Americanization of Emily (1964),The Americanization of Emily,1964,,,"Comedy , Drama , War",,115,7.3,2092
Xiu Xiu: The Sent-Down Girl (1998),Xiu Xiu: The Sent-Down Girl,1998,,,Drama,,99,7.3,2065
Earth (1996),Earth,1996,,,"Drama , Romance",,125,7.3,2065
Empties (2007),Empties,2007,,,"Comedy , Drama",,100,7.3,2036
Harry and Tonto (1974),Harry and Tonto,1974,,,"Adventure , Comedy , Drama , Romance",,115,7.3,2024
Beynelmilel (2006),Beynelmilel,2006,,,"Comedy , Drama , Music",,105,7.3,2014
The Unbelievable Truth (1989),The Unbelievable Truth,1989,,,"Comedy , Drama , Romance",,90,7.3,2032
Red Riding: In the Year of Our Lord 1983 (2009),Red Riding: In the Year of Our Lord 1983,2009,,,"Crime , Drama , Mystery , Thriller",,100,7.3,2015
Baazigar (1993),Baazigar,1993,,,"Crime , Drama , Thriller",,175,7.3,1986
Bound for Glory (1976),Bound for Glory,1976,,,"Biography , Drama , Music",,147,7.3,1966
Autumn Tale (1998),Autumn Tale,1998,,,"Drama , Romance",,112,7.3,1964
Life in a Metro (2007),Life in a Metro,2007,,,"Comedy , Drama , Romance",,132,7.3,1870
The Red Badge of Courage (1951),The Red Badge of Courage,1951,,,"Drama , War",,69,7.3,1868
Out of the Blue (2006),Out of the Blue,2006,,,"Crime , Drama",,103,7.3,1855
The Last of Sheila (1973),The Last of Sheila,1973,,,"Crime , Drama , Mystery , Thriller",,120,7.3,1866
Les deux Anglaises et le continent (1971),Les deux Anglaises et le continent,1971,,,"Romance , Drama",,120,7.3,1862
Daisy (2006),Daisy,2006,,,"Drama , Romance",,110,7.3,1821
The Whales of August (1987),The Whales of August,1987,,,Drama,,90,7.3,1796
The Border Post (2006),The Border Post,2006,,,"Action , Comedy , Drama",,94,7.3,1772
God of Gamblers (1989),God of Gamblers,1989,,,"Action , Comedy , Drama",,126,7.3,1770
Let Him Have It (1991),Let Him Have It,1991,,,"Crime , Drama , History",,115,7.3,1732
A Summer Tale (2000),A Summer Tale,2000,,,"Comedy , Drama , Family , Romance",,91,7.3,1707
Address Unknown (2001),Address Unknown,2001,,,"Drama , War",,117,7.3,1705
The Journey of Jared Price (2000),The Journey of Jared Price,2000,,,"Drama , Romance",,96,7.3,1682
Bal (Honey) (2010),Bal (Honey),2010,,,Drama,,103,7.3,1680
Song for a Raggy Boy (2003),Song for a Raggy Boy,2003,,,Drama,,100,7.3,1669
"Buenos Aires, 1977 (2006)","Buenos Aires, 1977",2006,,,"Crime , Thriller",,103,7.3,1661
Secret Sunshine (2007),Secret Sunshine,2007,,,"Comedy , Drama , Romance",,142,7.3,1666
Eyyvah eyvah 2 (2011),Eyyvah eyvah 2,2011,,,Comedy,,0,7.3,1651
Husbands (1970),Husbands,1970,,,"Comedy , Drama",,131,7.3,1638
The Yacoubian Building (2006),The Yacoubian Building,2006,,,Drama,,161,7.3,1607
Lilies (1996),Lilies,1996,,,"Drama , Fantasy , Romance",,95,7.3,1606
The Assault (1986),The Assault,1986,,,"Drama , History , Romance , War",,0,7.3,1595
Snoopy Come Home (1972),Snoopy Come Home,1972,,,"Animation , Adventure , Comedy , Drama , Family , Music",,81,7.3,1542
A Kind of America (2002),A Kind of America,2002,,,"Adventure , Comedy , Romance",,115,7.3,1542
Les enfants du Marais (1999),Les enfants du Marais,1999,,,"Comedy , Drama",,115,7.3,1534
I'm All Right Jack (1959),I'm All Right Jack,1959,,,Comedy,,105,7.3,1531
Maelstrom (2000),Maelstrom,2000,,,Drama,,87,7.3,1529
Nana (2005),Nana,2005,,,"Drama , Music",,113,7.3,1525
Tre uomini e una gamba (1997),Tre uomini e una gamba,1997,,,Comedy,,100,7.3,1516
The Enforcer (1951),The Enforcer,1951,,,"Drama , Crime , Film-Noir",,87,7.3,1506
Kamchatka (2002),Kamchatka,2002,,,Drama,,106,7.3,1498
Salvador (Puig Antich) (2006),Salvador (Puig Antich),2006,,,Drama,,134,7.3,1481
My Name Ain't Johnny (2008),My Name Ain't Johnny,2008,,,"Biography , Crime , Drama",,124,7.3,1466
The Belly of the Beast (2007),The Belly of the Beast,2007,,,"Horror , Mystery , Thriller",,100,7.3,1451
Munje! (2001),Munje!,2001,,,Comedy,,90,7.3,1453
Human Resources (1999),Human Resources,1999,,,Drama,,100,7.3,1451
Noroi: The Curse (2005),Noroi: The Curse,2005,,,Horror,,115,7.3,1437
Fogi is a Bastard (1998),Fogi is a Bastard,1998,,,"Drama , Music , Romance",,91,7.3,1448
Whose Life Is It Anyway? (1981),Whose Life Is It Anyway?,1981,,,Drama,,119,7.3,1444
Schtonk! (1992),Schtonk!,1992,,,Comedy,,115,7.3,1433
Kiler (1997),Kiler,1997,,,"Action , Comedy , Crime",,104,7.3,1426
Get Out Your Handkerchiefs (1978),Get Out Your Handkerchiefs,1978,,,"Comedy , Drama , Romance",,0,7.3,1431
Avellaneda's Moon (2004),Avellaneda's Moon,2004,,,"Comedy , Drama , Sport",,143,7.3,1428
Band Baaja Baaraat (2010),Band Baaja Baaraat,2010,,,"Comedy , Drama , Romance",,0,7.3,1406
The Bohemian Life (1992),The Bohemian Life,1992,,,"Comedy , Drama",,100,7.3,1404
The Man of the Year (2003),The Man of the Year,2003,,,"Action , Comedy , Crime",,113,7.3,1395
Times and Winds (2006),Times and Winds,2006,,,Drama,,0,7.3,1391
Minnie and Moskowitz (1971),Minnie and Moskowitz,1971,,,"Comedy , Drama , Romance",,114,7.3,1379
Some Mother's Son (1996),Some Mother's Son,1996,,,Drama,,112,7.3,1371
Even the Rain (2010),Even the Rain,2010,,,History,,103,7.3,1368
Resurrection (1980),Resurrection,1980,,,"Drama , Fantasy",,103,7.3,1370
Medium Cool (1969),Medium Cool,1969,,,"Drama , Romance",,111,7.3,1366
I Live in Fear (1955),I Live in Fear,1955,,,Drama,,103,7.3,1360
Transformers (2007),Transformers,2007,,,"Action , Sci-Fi , Thriller",,144,7.2,229119
Harry Potter and the Sorcerer's Stone (2001),Harry Potter and the Sorcerer's Stone,2001,,,"Adventure , Family , Fantasy , Mystery",,152,7.2,159229
Burn After Reading (2008),Burn After Reading,2008,,,"Comedy , Crime , Drama",,96,7.2,109109
Scream (1996),Scream,1996,,,"Crime , Horror , Mystery , Thriller",,103,7.2,106216
There's Something About Mary (1998),There's Something About Mary,1998,,,"Comedy , Romance",,119,7.2,108657
Dumb & Dumber (1994),Dumb & Dumber,1994,,,"Comedy , Family",,107,7.2,106075
Eyes Wide Shut (1999),Eyes Wide Shut,1999,,,"Drama , Mystery , Thriller",,159,7.2,105202
The Ring (2002),The Ring,2002,,,"Horror , Mystery , Thriller",,115,7.2,97915
The Terminal (2004),The Terminal,2004,,,"Comedy , Drama , Romance",,128,7.2,95916
Rambo (2008),Rambo,2008,,,"Action , Thriller , War",,92,7.2,92430
Back to the Future Part III (1990),Back to the Future Part III,1990,,,"Adventure , Comedy , Family , Sci-Fi , Western",,118,7.2,92252
Chicago (2002),Chicago,2002,,,"Comedy , Crime , Drama , Musical",,113,7.2,90899
Speed (1994),Speed,1994,,,"Action , Crime , Drama , Thriller",,116,7.2,95007
Death Proof (2007),Death Proof,2007,,,"Action , Crime , Thriller",,113,7.2,90156
True Lies (1994),True Lies,1994,,,"Action , Thriller",,141,7.2,89802
Phone Booth (2002),Phone Booth,2002,,,"Mystery , Thriller",,81,7.2,81247
Insomnia (2002),Insomnia,2002,,,"Crime , Drama , Mystery , Thriller",,118,7.2,79909
Red Dragon (2002),Red Dragon,2002,,,"Crime , Drama , Mystery , Thriller",,124,7.2,76719
The School of Rock (2003),The School of Rock,2003,,,"Comedy , Music",,108,7.2,75080
Enemy of the State (1998),Enemy of the State,1998,,,"Action , Drama , Thriller",,132,7.2,74774
Valkyrie (2008),Valkyrie,2008,,,"Drama , History , Thriller , War",,121,7.2,66776
Ronin (1998),Ronin,1998,,,"Action , Crime , Drama , Thriller",,122,7.2,64637
Team America: World Police (2004),Team America: World Police,2004,,,"Action , Adventure , Comedy",,98,7.2,65254
Law Abiding Citizen (2009),Law Abiding Citizen,2009,,,"Crime , Drama , Thriller",,108,7.2,64815
The Life Aquatic with Steve Zissou (2004),The Life Aquatic with Steve Zissou,2004,,,"Adventure , Comedy , Drama",,119,7.2,63209
Erin Brockovich (2000),Erin Brockovich,2000,,,"Biography , Drama , Romance",,130,7.2,61781
Galaxy Quest (1999),Galaxy Quest,1999,,,"Action , Adventure , Comedy , Sci-Fi",,102,7.2,57438
Big (1988),Big,1988,,,"Comedy , Drama , Family , Fantasy , Romance",,104,7.2,56891
"I Love You, Man (2009)","I Love You, Man",2009,,,"Comedy , Romance",,105,7.2,56165
The Darjeeling Limited (2007),The Darjeeling Limited,2007,,,"Adventure , Comedy , Drama",,91,7.2,54618
Chicken Run (2000),Chicken Run,2000,,,"Animation , Family , Comedy",,84,7.2,54123
The Negotiator (1998),The Negotiator,1998,,,"Action , Crime , Drama , Mystery , Thriller",,140,7.2,51235
Bad Santa (2003),Bad Santa,2003,,,"Comedy , Crime",,91,7.2,50922
The Virgin Suicides (1999),The Virgin Suicides,1999,,,"Drama , Mystery , Romance",,97,7.2,54610
Hard Candy (2005),Hard Candy,2005,,,"Drama , Thriller",,104,7.2,54222
The Phantom of the Opera (2004),The Phantom of the Opera,2004,,,"Drama , Musical , Romance , Thriller",,143,7.2,47496
Legends of the Fall (1994),Legends of the Fall,1994,,,"Drama , Romance , War , Western",,133,7.2,46667
Highlander (1986),Highlander,1986,,,"Action , Fantasy",,116,7.2,45424
The Full Monty (1997),The Full Monty,1997,,,"Comedy , Music",,91,7.2,44295
Broken Flowers (2005),Broken Flowers,2005,,,"Comedy , Drama , Mystery",,106,7.2,44034
Monster's Ball (2001),Monster's Ball,2001,,,"Drama , Romance",,111,7.2,41315
Defiance (2008),Defiance,2008,,,"Action , Drama , History , Thriller , War",,137,7.2,41761
Mulan (1998),Mulan,1998,,,"Animation , Adventure , Drama , Family",,88,7.2,41035
Buried (2010),Buried,2010,,,"Drama , Mystery , Thriller",,95,7.2,40977
Elephant (2003),Elephant,2003,,,"Crime , Drama",,81,7.2,39245
Babe (1995),Babe,1995,,,"Adventure , Comedy , Drama , Family , Fantasy",,89,7.2,39884
Caddyshack (1980),Caddyshack,1980,,,"Comedy , Sport",,98,7.2,39139
Arlington Road (1999),Arlington Road,1999,,,Thriller,,117,7.2,39008
Finding Forrester (2000),Finding Forrester,2000,,,Drama,,136,7.2,38602
"Good Morning, Vietnam (1987)","Good Morning, Vietnam",1987,,,"Comedy , Drama , War",,121,7.2,36368
Crimson Tide (1995),Crimson Tide,1995,,,"Action , Drama , Thriller",,116,7.2,36311
Paul (2011),Paul,2011,,,"Adventure , Comedy , Sci-Fi",,109,7.2,35837
Born on the Fourth of July (1989),Born on the Fourth of July,1989,,,"Biography , Drama , War",,145,7.2,35589
Fast Times at Ridgemont High (1982),Fast Times at Ridgemont High,1982,,,"Comedy , Drama , Romance",,90,7.2,34419
In the Line of Fire (1993),In the Line of Fire,1993,,,"Crime , Drama , Thriller",,128,7.2,33781
Wild at Heart (1990),Wild at Heart,1990,,,"Crime , Romance , Thriller",,125,7.2,31908
The Kids Are All Right (2010),The Kids Are All Right,2010,,,"Comedy , Drama",,106,7.2,32835
Brothers (2009),Brothers,2009,,,"Drama , Thriller , War",,105,7.2,30079
The Lookout (2007),The Lookout,2007,,,"Crime , Drama , Thriller",,99,7.2,28353
Ong-bak (2003),Ong-bak,2003,,,"Action , Adventure , Crime , Thriller",,0,7.2,27696
Star Trek VI: The Undiscovered Country (1991),Star Trek VI: The Undiscovered Country,1991,,,"Action , Mystery , Sci-Fi , Thriller",,113,7.2,25518
Clue (1985),Clue,1985,,,"Comedy , Crime , Mystery , Thriller",,94,7.2,24608
Bottle Rocket (1996),Bottle Rocket,1996,,,"Comedy , Crime",,91,7.2,23846
The Princess and the Frog (2009),The Princess and the Frog,2009,,,"Animation , Family , Fantasy , Musical , Romance",,97,7.2,23759
Manhunter (1986),Manhunter,1986,,,"Crime , Drama , Mystery , Thriller",,119,7.2,23456
Whatever Works (2009),Whatever Works,2009,,,"Comedy , Romance",,92,7.2,23145
Kinsey (2004),Kinsey,2004,,,"Biography , Drama",,118,7.2,21900
One Hundred and One Dalmatians (1961),One Hundred and One Dalmatians,1961,,,"Animation , Adventure , Family",,79,7.2,22218
Waitress (2007),Waitress,2007,,,"Comedy , Drama , Romance",,108,7.2,22083
The Pink Panther (1963),The Pink Panther,1963,,,"Comedy , Crime , Family",,115,7.2,18968
Away We Go (2009),Away We Go,2009,,,"Comedy , Drama , Romance",,98,7.2,19159
Mr. Holland's Opus (1995),Mr. Holland's Opus,1995,,,"Drama , Music",,143,7.2,18432
Chariots of Fire (1981),Chariots of Fire,1981,,,"Drama , History , Sport",,124,7.2,18039
North Country (2005),North Country,2005,,,Drama,,126,7.2,17977
The Age of Innocence (1993),The Age of Innocence,1993,,,"Drama , Romance",,139,7.2,17516
The Hitcher (1986),The Hitcher,1986,,,"Action , Crime , Thriller",,97,7.2,17473
Everybody's Fine (2009),Everybody's Fine,2009,,,Drama,,99,7.2,17203
Agora (2009),Agora,2009,,,"Adventure , Drama , History , Romance",,127,7.2,16846
Beautiful Girls (1996),Beautiful Girls,1996,,,"Drama , Comedy , Romance",,112,7.2,16535
Marnie (1964),Marnie,1964,,,"Mystery , Romance , Thriller",,130,7.2,15646
It's Kind of a Funny Story (2010),It's Kind of a Funny Story,2010,,,"Comedy , Drama",,101,7.2,15380
The Quiet American (2002),The Quiet American,2002,,,"Drama , Mystery , Romance , Thriller , War",,101,7.2,15311
Slap Shot (1977),Slap Shot,1977,,,"Comedy , Drama , Sport",,123,7.2,15651
The Italian Job (1969),The Italian Job,1969,,,"Action , Comedy , Crime , Thriller",,99,7.2,15280
Sweet and Lowdown (1999),Sweet and Lowdown,1999,,,"Comedy , Music",,95,7.2,15217
Fahrenheit 451 (1966),Fahrenheit 451,1966,,,"Drama , Sci-Fi , Thriller",,112,7.2,14350
A Mighty Wind (2003),A Mighty Wind,2003,,,"Comedy , Music",,91,7.2,14321
Things We Lost in the Fire (2007),Things We Lost in the Fire,2007,,,Drama,,118,7.2,13610
Waking Ned Devine (1998),Waking Ned Devine,1998,,,Comedy,,91,7.2,13776
Chopper (2000),Chopper,2000,,,"Biography , Comedy , Crime , Drama",,94,7.2,13747
